,Accuracy,F1 Score,ROC-AUC Score,PR-AUC Score
TomekLinks,0.819,0.4843304843304843,0.7812212840656798,0.5427211843390889
EditedNearestNeighbour,0.791,0.5399853264856933,0.7812212840656798,0.5427211843390889
NearMiss,0.49316666666666664,0.39386087303169226,0.7812212840656798,0.5427211843390889
NeighborhoodCleaningRule,0.7936666666666666,0.5411415863602669,0.7812212840656798,0.5427211843390889
OenSidedSelection,0.8195,0.48648648648648646,0.7812212840656798,0.5427211843390889
