,Accuracy,F1 Score,ROC-AUC Score,PR-AUC Score
SMOTE-Tomek,0.7925,0.5191193511008112,0.7691146664682059,0.527356668983976
SMOTE-ENN,0.722,0.506508875739645,0.7691146664682059,0.527356668983976
